,image,edge_density,mean_h_channel,mean_s_channel,mean_v_channel,std_h_channel,std_s_channel,std_v_channel,cnn_symmetry_left_right,cnn_symmetry_up_down,slope_redies,fourier_sigma,2d_fractal_dimension,1st_order_eoe,room_type,reading,gaming,socializing,cleaning,playing,exercise,working,shopping,enclosed area,far-away horizon,open area,semi-enclosed area,bed,window ,cabinet,table,plant,chair,"painting, picture",sofa,lamp,cushion,flower,book,light,orientation5,length7,curvature7
1699,restaurant_5705.png,178.064,0.0202,0.4102,0.6,0.1685,0.3565,0.3418,0.6126,0.4253,-2.785,0.01078,1.341,3.851,restaurant,0.4688579293486122,0.2851650138791051,0.6366982996215327,0.2779961101115639,0.2731425453805728,0.2430615037510345,0.2703285907614461,0.2446134507912733,0.703679537630233,0.247683925474344,0.2394066402375528,0.3591035385493616,0,1,0,1,0,1,0,0,0,0,1,0,1,2344.41365624471,144.623116730038,28.2568036122821
1700,restaurant_5718.png,93.148,0.1364,0.7314,0.3442,0.1356,0.2355,0.276,0.4501,0.413,-2.812,0.02037,1.417,3.918,restaurant,0.4385273559496083,0.2894156642433348,0.5874158018310109,0.2592821657745742,0.2159711870463762,0.202689441170962,0.2917878586656279,0.2238686818440423,0.7641048383832105,0.2398876795399869,0.1961216934148944,0.2499973527463263,0,0,0,1,1,1,1,0,1,0,0,1,1,3150.59141827868,1291.44677229284,24.7334155405722
1701,restaurant_5738.png,91.15,0.06722,0.4914,0.7553,0.05676,0.2541,0.1698,0.4595,0.3531,-2.776,0.01183,1.329,4.092,restaurant,0.4496277327055127,0.2571380149268095,0.5127920900323161,0.268782628166818,0.2404134960757299,0.2353595262798393,0.2086555907665738,0.2079611102537474,0.7445894595080665,0.2468682131746102,0.259618304638205,0.2651352553178026,0,1,1,1,1,1,1,0,0,0,1,0,0,4062.7663407178,1171.23204480709,5.52510843541695
1702,restaurant_5742.png,148.824,0.03818,0.352,0.4305,0.1591,0.2268,0.2714,0.495,0.5039,-2.596,0.01397,1.468,4.215,restaurant,0.2656171275210612,0.2813050649236772,0.541815992167046,0.2576539266614153,0.1974473053765268,0.201536204498432,0.3967245787093864,0.3441443701504891,0.6935464961412013,0.2152036487193001,0.2601426303863097,0.2827740341889608,0,0,0,0,0,1,0,0,1,0,0,0,1,2730.62552127068,490.598272979616,19.9777009301972
1703,restaurant_5765.png,114.984,0.08883,0.3151,0.5982,0.117,0.2022,0.2457,0.3892,0.3827,-2.795,0.005331,1.401,3.941,restaurant,0.4287585148570875,0.2884904635406052,0.4017987980462799,0.3065254104923069,0.2424637476622132,0.2472420685208051,0.3895539559102636,0.2879072526446287,0.7772708734185453,0.2709305352952491,0.2296717117691497,0.2870456284064614,0,1,0,1,0,1,0,0,1,0,1,0,1,3000.80246312951,571.582371112861,17.7444060938545
1704,restaurant_5795.png,103.048,0.02145,0.3748,0.3397,0.1674,0.3031,0.3155,0.4511,0.402,-2.726,0.01263,1.351,3.846,restaurant,0.4514748503349022,0.2914137829186602,0.4864945564099345,0.2735218477767474,0.2218536464001973,0.2031013893177118,0.4104896059734908,0.218015472041602,0.7945631333782528,0.2293817019337106,0.1952909480236986,0.2623058177051048,0,1,1,1,0,1,0,0,1,0,0,0,0,3047.87285763607,0.0,17.4720106524929
1705,restaurant_5797.png,85.895,0.9837,0.1664,0.2851,0.3038,0.1069,0.2433,0.4918,0.3918,-2.789,0.01275,1.304,3.847,restaurant,0.5101776915666048,0.2840452786798429,0.5354036315270067,0.2618504810721363,0.2396224613026288,0.2423716759042886,0.279966189578216,0.2042493961778948,0.6951052837204321,0.2118739657465924,0.2102627790023713,0.3191333426374462,0,1,0,1,0,1,1,0,1,0,0,0,0,2727.65450728199,521.37589287449,22.3267793718777
1706,restaurant_5805.png,179.986,0.06321,0.5854,0.4858,0.08372,0.2803,0.3008,0.4798,0.5145,-2.534,0.006503,1.583,4.312,restaurant,0.3463451890121894,0.2699053136807572,0.4547596221193998,0.2636442751862793,0.2088662700993562,0.208773985664054,0.3739573427977147,0.3209698984055957,0.7879286035660591,0.2310704267065843,0.1781286236305715,0.2560106409043802,0,1,0,1,1,1,1,0,0,0,0,1,0,2707.05650267085,395.90309069609,21.7085135419634
1707,restaurant_5810.png,158.487,0.09418,0.3362,0.4448,0.128,0.2351,0.2252,0.5248,0.5238,-2.504,0.01253,1.571,3.944,restaurant,0.3353528818669236,0.2531911691660395,0.4941591441622643,0.2528821011594175,0.2075052271727357,0.1918077202484977,0.3552708819962278,0.3579795088423761,0.5873130309930046,0.1905826821388686,0.2437190155208201,0.3063110528657061,0,0,0,1,1,1,1,0,0,0,0,0,0,3556.03979289407,0.0,18.2086430724252
1708,restaurant_5820.png,83.54,0.01888,0.6493,0.3776,0.09884,0.2735,0.3113,0.4841,0.4029,-2.628,0.009623,1.316,4.143,restaurant,0.2943325109038371,0.3370979030753802,0.5097562367765522,0.2672811227129699,0.217501883588227,0.2231441670025275,0.3633802644924473,0.3388822176548726,0.766315800193669,0.2879495763108732,0.2408306098737438,0.2509951218088533,0,0,1,1,0,1,1,0,1,0,0,0,1,2937.22303257755,180.243811921959,26.8171074774456
