image,tense,energetic,valence,approach,room_type
bedroom__27.png,2.9583333333333335,2.0833333333333335,2.7916666666666665,2.875,bedroom
bedroom__270.png,1.9583333333333333,2.625,4.956521739130435,4.826086956521739,bedroom
bedroom__271.png,3.3333333333333335,3.375,4.15,3.9,bedroom
bedroom__272.png,2.2083333333333335,3.4166666666666665,5.083333333333333,5.083333333333333,bedroom
bedroom__273.png,1.9047619047619047,3.0,5.416666666666667,5.541666666666667,bedroom
bedroom__274.png,2.761904761904762,3.2857142857142856,5.291666666666667,5.333333333333333,bedroom
bedroom__275.png,1.8333333333333333,3.0416666666666665,5.666666666666667,5.708333333333333,bedroom
bedroom__276.png,2.625,3.375,4.913043478260869,4.782608695652174,bedroom
bedroom__277.png,1.9583333333333333,2.7083333333333335,4.791666666666667,4.958333333333333,bedroom
bedroom__278.png,2.75,3.2916666666666665,4.75,4.666666666666667,bedroom
bedroom__279.png,2.5416666666666665,3.625,4.958333333333333,4.958333333333333,bedroom
bedroom__28.png,1.75,2.3333333333333335,5.416666666666667,5.416666666666667,bedroom
bedroom__280.png,2.4583333333333335,3.375,5.041666666666667,5.0,bedroom
bedroom__281.png,2.857142857142857,3.7142857142857144,4.5,4.5,bedroom
bedroom__282.png,2.375,2.875,4.956521739130435,4.956521739130435,bedroom
bedroom__283.png,2.7083333333333335,2.875,3.9565217391304346,3.869565217391304,bedroom
bedroom__284.png,3.3043478260869565,3.391304347826087,5.052631578947368,4.842105263157895,bedroom
bedroom__285.png,3.619047619047619,3.5714285714285716,3.125,3.0416666666666665,bedroom
bedroom__286.png,2.625,3.625,4.913043478260869,4.826086956521739,bedroom
bedroom__287.png,2.625,3.5833333333333335,4.826086956521739,5.0,bedroom
bedroom__288.png,5.086956521739131,4.0,2.526315789473684,2.6315789473684212,bedroom
bedroom__289.png,2.2083333333333335,3.0416666666666665,4.739130434782608,4.391304347826087,bedroom
bedroom__29.png,4.708333333333333,3.2916666666666665,2.1666666666666665,2.125,bedroom
bedroom__290.png,3.0952380952380953,3.238095238095238,4.958333333333333,5.041666666666667,bedroom
bedroom__291.png,2.125,3.6666666666666665,4.5,4.458333333333333,bedroom
bedroom__292.png,2.9047619047619047,3.619047619047619,4.583333333333333,4.458333333333333,bedroom
bedroom__293.png,2.6666666666666665,2.0,3.8260869565217392,3.869565217391304,bedroom
bedroom__294.png,2.0416666666666665,2.75,6.125,6.125,bedroom
bedroom__295.png,1.6521739130434783,2.9130434782608696,5.434782608695652,5.478260869565218,bedroom
bedroom__296.png,2.7083333333333335,3.25,4.125,4.083333333333333,bedroom
bedroom__297.png,4.5,3.7083333333333335,3.55,3.25,bedroom
bedroom__298.png,1.9565217391304348,2.391304347826087,5.260869565217392,5.086956521739131,bedroom
bedroom__299.png,4.041666666666667,4.041666666666667,3.7083333333333335,3.7083333333333335,bedroom
bedroom__3.png,2.8095238095238093,2.619047619047619,4.666666666666667,4.666666666666667,bedroom
bedroom__30.png,3.0,3.625,3.9130434782608696,3.782608695652174,bedroom
bedroom__31.png,2.5416666666666665,3.375,4.428571428571429,4.761904761904762,bedroom
bedroom__32.png,2.652173913043478,2.739130434782609,4.083333333333333,4.041666666666667,bedroom
bedroom__33.png,2.8095238095238093,2.6666666666666665,4.416666666666667,4.166666666666667,bedroom
bedroom__34.png,2.8333333333333335,3.2916666666666665,4.375,4.166666666666667,bedroom
bedroom__35.png,2.6666666666666665,2.75,4.125,4.125,bedroom
bedroom__36.png,2.5833333333333335,3.125,5.291666666666667,5.208333333333333,bedroom
